max_lin_0	max_ang_0	max_lin_1	max_ang_1	x0	y0	x1	y1	shot_0	shot_1	shot_2	shot_3	shot_4	shot_5
0.6	1	0.4	0.9	0	0	-1	-2	4.650000	5.250000	6.000000	6.600000	7.200000	8.400000
0.6	1	0.5	0.9	0	0	-1	-2	5.775000	6.375000	10.875000	11.475000	14.775000	15.450000
0.6	1	0.6	0.9	0	0	-1	-2	4.650000	5.250000	6.150000	6.675000	7.350000	7.875000
0.6	1	0.7	0.9	0	0	-1	-2	18.075000	18.675000	19.275000	19.875000	20.475000	21.075000
0.6	1	0.8	0.9	0	0	-1	-2	12.300000	12.900000	13.500000	14.100000	14.700000	15.300000
0.6	1	1	0.9	0	0	-1	-2	5.775000	6.975000	7.575000	8.775000	9.975000	10.575000
0.6	1	0.2	1	0	0	-1	-2	4.350000	4.950000	5.550000	6.150000	6.750000	7.350000
0.6	1	0.3	1	0	0	-1	-2	4.200000	6.150000	6.750000	7.350000	7.950000	9.600000
0.6	1	0.4	1	0	0	-1	-2	4.725000	5.325000	9.300000	12.000000	13.500000	14.925000
0.6	1	0.5	1	0	0	-1	-2	4.650000	7.350000	7.875000	8.700000	9.300000	9.900000
0.6	1	0.6	1	0	0	-1	-2	5.100000	5.700000	6.300000	7.200000	14.850000	15.375000
0.6	1	0.7	1	0	0	-1	-2	7.200000	7.800000	8.400000	9.000000	9.600000	10.200000
0.6	1	0.8	1	0	0	-1	-2	24.750000	25.350000	25.950000	26.550000	27.150000	27.750000
0.6	1	1	1	0	0	-1	-2	9.000000	9.525000	10.125000	10.725000	11.325000	12.300000
0.6	1	0.7	0.1	0	0	-3	-4	67.650000	68.250000	68.850000	69.450000	70.050000	70.650000
0.6	1	0.6	0.2	0	0	-3	-4	5.775000	6.375000	6.975000	7.575000	8.175000	8.775000
0.6	1	0.6	0.3	0	0	-3	-4	16.350000	16.950000	17.550000	18.150000	18.750000	19.350000
0.6	1	0.7	0.3	0	0	-3	-4	18.675000	19.275000	19.875000	20.475000	21.075000	21.675000
0.6	1	0.8	0.3	0	0	-3	-4	5.775000	6.375000	6.975000	7.575000	8.175000	9.150000
0.6	1	0.6	0.4	0	0	-3	-4	10.500000	11.100000	11.700000	12.450000	13.050000	13.650000
0.6	1	0.7	0.4	0	0	-3	-4	30.225000	30.825000	31.425000	32.025000	32.625000	33.225000
0.6	1	0.8	0.4	0	0	-3	-4	4.725000	8.100000	8.700000	9.300000	14.700000	15.300000
0.6	1	1	0.4	0	0	-3	-4	8.700000	9.300000	9.900000	10.500000	11.700000	12.300000
0.6	1	0.6	0.5	0	0	-3	-4	8.100000	8.700000	9.225000	10.500000	11.025000	11.700000
0.6	1	0.7	0.5	0	0	-3	-4	2.325000	3.300000	3.900000	5.325000	8.325000	9.000000
0.6	1	0.8	0.5	0	0	-3	-4	2.250000	3.300000	3.825000	4.650000	5.250000	5.850000
0.6	1	0.9	0.5	0	0	-3	-4	2.400000	2.925000	3.525000	4.125000	4.725000	5.325000
0.6	1	1	0.5	0	0	-3	-4	2.400000	3.000000	3.600000	4.650000	5.250000	5.850000
